	Segment ID	Source Segment	Ref	MT_Y	MT_Z	Ref_rating	MT_Y_rating	MT_Z_rating	Error	MT_Y_tokens	MT_Z_tokens
101	102	The 37-year-old tennis star appeared to shrug off the fine while speaking to reporters after winning the quarterfinal round against Alison Riske on Tuesday.	테니스 여제 윌리엄스(37)는 화요일 8강전에서 앨리슨 리스크에게 승리한 뒤 가진 기자들과의 인터뷰에서 벌금을 대수롭지 않게 여기는 듯 보였다.	이 37세의 테니스 스타는 화요일 앨리슨 리스케와의 8강전에서 승리한 후 기자들에게 말을 하는 동안 벌금을 무시하는 것처럼 보였다.	37세의 테니스 스타는 화요일 앨리슨 리스케와의 8강전에서 승리한 후 기자들에게 연설하면서 벌금을 면제해 주는 것처럼 보였다.	1	2	3	F	이 37 세 의 테니스 스타 는 화요일 앨리슨 리스케 와 의 8 강전 에서 승리 한 후 기자 들 에게 말 을 하 는 동안 벌금 을 무시 하 는 것 처럼 보였 다 .	37 세 의 테니스 스타 는 화요일 앨리슨 리스케 와 의 8 강전 에서 승리 한 후 기자 들 에게 연설 하 면서 벌금 을 면제 해 주 는 것 처럼 보였 다 .
102	103	I haven't really thought about it, to be honest, she said when asked about the fine.	"벌금에 대해 묻자 윌리엄스는 ""솔직히 벌금에 대해 별로 생각해 본 적이 없다""고 말했다."	"벌금에 대한 질문에 그녀는 ""솔직히 생각해본 적이 없다""고 말했다."	"""솔직히 말해서, 나는 그것에 대해 정말 생각해 본 적이 없다,""라고 그녀는 벌금에 대한 질문에 말했다."	1	1	2	F	"벌금 에 대한 질문 에 그녀 는 "" 솔직히 생각 해 본 적 이 없 다 "" 고 말 했 다 ."	""" 솔직히 말 해서 , 나 는 그것 에 대해 정말 생각 해 본 적 이 없 다 , "" 라고 그녀 는 벌금 에 대한 질문 에 말 했 다 ."
103	104	I just threw my racquet.	그저 라켓을 던졌을 뿐인데	방금 라켓을 던졌어요.	방금 라켓을 던졌어요.	1	2	2	F	방금 라켓 을 던졌 어요 .	방금 라켓 을 던졌 어요 .
104	105	I got fined.	벌금을 물게 되었다.	벌금형을 받았어요.	벌금을 물었어요.	1	2	1	F	벌금형 을 받 았 어요 .	벌금 을 물 었 어요 .
105	106	Williams said she didn't know how that could've caused damage.	윌리엄스는 그 행동으로 어떤 손상을 입혔는지 모르겠다고 말했다.	윌리엄스는 그게 어떻게 피해를 줄 수 있었는지 몰랐다고 했어요	윌리엄스는 그것이 어떻게 피해를 입힐 수 있었는지 모른다고 말했다.	2	1	1	F	윌리엄스 는 그게 어떻게 피해 를 줄 수 있 었 는지 몰랐 다고 했 어요	윌리엄스 는 그것 이 어떻게 피해 를 입힐 수 있 었 는지 모른다고 말 했 다 .
106	107	I mean, I guess if you could tell me, I would appreciate it, she told reporters.	"“그러니까 나에게 설명을 해줄 수 있다면 참 고맙겠다""라고 윌리엄스는 기자들에게 말했다."	"""제 말은, 제게 말씀해 주신다면, 저는 감사할 것 같습니다,""라고 그녀는 기자들에게 말했다."	"그녀는 기자들에게 ""내 말은, 네가 나에게 말해준다면, 나는 그것을 고맙게 여길 것 같아,""라고 말했다."	1	2	2	F	""" 제 말 은 , 제게 말씀 해 주 신다면 , 저 는 감사 할 것 같 습니다 , "" 라고 그녀 는 기자 들 에게 말 했 다 ."	"그녀 는 기자 들 에게 "" 내 말 은 , 네 가 나 에게 말 해준다면 , 나 는 그것 을 고맙 게 여길 것 같 아 , "" 라고 말 했 다 ."
107	108	I mean, I have always been an Avenger in my heart.	그러니까 내 안에는 항상 어벤저스가 있었다.	"""내 말은, 나는 항상 마음속으로 복수자였어."	"""내 말은, 나는 항상 마음속의 어벤져스였소."	1	1	2	T	""" 내 말 은 , 나 는 항상 마음속 으로 복수 자 였 어 ."	""" 내 말 은 , 나 는 항상 마음속 의 어벤져스 였 소 ."
108	109	Maybe I'm super strong.	내가 힘이 너무 센 건지.	내가 엄청 강한가 봐	어쩌면 내가 아주 강할지도 모르지.	1	2	1	F	내 가 엄청 강한가 봐	어쩌면 내 가 아주 강 할지 도 모르 지 .
109	110	I don't know.	잘 모르겠다.”	"몰라."""	"나도 몰라."""	1	1	1	T	"몰라 . """	"나 도 몰라 . """
110	111	Williams is after her eighth Wimbledon title, which would be her 24th grand slam victory.	윌리엄스는 여덟 번째 윔블던 타이틀을 노리고 있고, 그렇게 되면 통산 24번째 그랜드 슬램 대회 우승을 거두게 된다.	윌리엄스는 통산 8번째 윔블던 우승으로 24번째 그랜드슬램 우승을 달성했다.	윌리엄스는 윔블던 8번째 우승을 차지했는데, 이것은 그녀의 24번째 그랜드 슬램 우승이 될 것이다.	1	2	2	F	윌리엄스 는 통산 8 번 째 윔블던 우승 으로 24 번 째 그랜드 슬램 우승 을 달성 했 다 .	윌리엄스 는 윔블던 8 번 째 우승 을 차지 했 는데 , 이것 은 그녀 의 24 번 째 그랜드 슬램 우승 이 될 것 이 다 .
111	112	She is advancing to the singles semifinals on Thursday against Czech player Barbora Strýcová.	윌리엄스는 체코의 바보라 스트리코바 선수와 목요일 단식 준결승전에서 맞붙는다.	그는 13일 체코 바르보라 스트뢰코바와의 단식 준결승에 진출한다.	그녀는 목요일 체코 선수 바르보라 스트로코바와의 단식 준결승에 진출하고 있다.	1	3	2	F	그 는 13 일 체코 바르보라 스 트 뢰 코바 와 의 단식 준결승 에 진출 한다 .	그녀 는 목요일 체코 선수 바르보라 스트로 코바 와 의 단식 준결승 에 진출 하 고 있 다 .
112	113	Williams was also fined a total of $17,000 last year after she defended herself against an umpire at the U.S. Open who accused her of illegally communicating with her coach during a match.	윌리엄스는 작년에도 US 오픈에서 그녀가 경기 도중 불법으로 코치와 대화한 혐의를 심판이 제기하자 심판에게 자신을 해명하다가 총 17,000달러의 벌금을 물은 바 있다.	윌리엄스는 지난해 US오픈에서 경기 도중 코치와 불법적으로 교신했다고 비난한 심판을 상대로 자신을 변호해 1만7000달러의 벌금형을 선고받았다.	윌리엄스는 지난해 US오픈에서 코치와 불법 소통했다고 비난한 심판에 맞서 자신을 방어한 뒤 총 17,000달러의 벌금을 부과받았다.	1	3	2	F	윌리엄스 는 지난해 US 오픈 에서 경기 도중 코치 와 불 법 적 으로 교신 했 다고 비난 한 심판 을 상대 로 자신 을 변호 해 1 만 7000 달러 의 벌금형 을 선고 받 았 다 .	윌리엄스 는 지난해 US 오픈 에서 코치 와 불법 소통 했 다고 비난 한 심판 에 맞서 자신 을 방어 한 뒤 총 17 , 000 달러 의 벌금 을 부과 받 았 다 .
113	114	"During that incident, the umpire issued three code violations to Williams: One for receiving illegal coaching, a second for breaking her tennis racket in frustration and a third after she confronted the umpire and called him a ""thief."""	이 사건에서 심판은 윌리엄스가 세 가지 규칙을 위반했다고 지적했다. 첫째, 불법 코칭을 받은 점, 둘째, 실망감 때문에 테니스 라켓을 부순 점, 셋째, 심판에게 항의하며 ‘도둑’이라고 부른 점이다.	"그 사건 동안 심판은 윌리엄스에게 세 번의 코드 위반을 발표했다. 하나는 불법 코치를 받은 죄로, 다른 하나는 좌절감에 테니스 라켓을 부순 죄로, 그리고 다른 하나는 심판과 맞서서 그를 ""도둑""이라고 부른 후였다."""	"그 사건 동안 심판은 윌리엄스에게 3 가지 코드 위반을 발표했다. 하나는 불법 코칭을 받은 것, 하나는 좌절감으로 테니스 라켓을 깨뜨린 것, 그리고 3분의 1은 심판과 대치하고 그를 ""도둑""이라고 불렀다."	1	2	2	F	"그 사건 동안 심판 은 윌리엄스 에게 세 번 의 코드 위반 을 발표 했 다 . 하나 는 불법 코치 를 받 은 죄 로 , 다른 하나 는 좌절감 에 테니스 라켓 을 부순 죄 로 , 그리고 다른 하나 는 심판 과 맞서 서 그 를 "" 도둑 "" 이라고 부른 후 였 다 . """	"그 사건 동안 심판 은 윌리엄스 에게 3 가지 코드 위반 을 발표 했 다 . 하나 는 불법 코칭 을 받 은 것 , 하나 는 좌절감 으로 테니스 라켓 을 깨뜨린 것 , 그리고 3 분 의 1 은 심판 과 대치 하 고 그 를 "" 도둑 "" 이라고 불렀 다 ."
114	115	"Many of Williams’ fans claimed that the umpire was unnecessarily harsh in his response to her, especially considering male players"" meltdowns throughout the history of the sport."	윌리엄스의 많은 팬들은 심판이 윌리엄스에게 필요 이상으로 냉정하게 반응했다고 주장했다. 특히 스포츠 역사상 남자 선수들이 자제심을 잃었을 때를 고려해보면 말이다.	많은 윌리엄스의 팬들은 심판이 그녀에 대한 반응, 특히 남자 선수들에 대한 반응에서 불필요하게 가혹했다고 주장했다.	윌리엄스의 많은 팬들은 심판이 그녀에 대한 그의 반응에서 불필요하게 가혹하다고 주장했는데, 특히 스포츠 역사상 남자 선수들의 붕괴를 고려하면 더욱 그렇다.	1	3	2	T	많 은 윌리엄스 의 팬 들 은 심판 이 그녀 에 대한 반응 , 특히 남자 선수 들 에 대한 반응 에서 불 필요 하 게 가혹 했 다고 주장 했 다 .	윌리엄스 의 많 은 팬 들 은 심판 이 그녀 에 대한 그 의 반응 에서 불 필요 하 게 가혹 하 다고 주장 했 는데 , 특히 스포츠 역사 상 남자 선수 들 의 붕괴 를 고려 하 면 더욱 그렇 다 .
115	116	Do you know how many other men do things that are much worse than that?	“당신은 다른 남자 선수들이 그것보다 얼마나 더 심한 행동을 하는지 아느냐?”	"""그것보다 훨씬 더 나쁜 짓을 하는 사람이 얼마나 더 많은지 아세요?"""	"""그보다 훨씬 더 나쁜 짓을 하는 남자가 얼마나 많은지 아십니까?"""	1	3	2	F	""" 그것 보다 훨씬 더 나쁜 짓 을 하 는 사람 이 얼마나 더 많 은지 아세요 ? """	""" 그 보다 훨씬 더 나쁜 짓 을 하 는 남자 가 얼마나 많 은지 아십니까 ? """
116	117	Williams told U.S. Open officials who entered the court during the match after her confrontation with the umpire.	윌리엄스가 심판에게 항의한 뒤 US 오픈 관계자들이 경기 도중 코트에 들어오자 그녀는 그들에게 말했다.	윌리엄스는 경기 도중 심판과 맞붙은 뒤 코트에 들어간 US오픈 관계자들에게 이렇게 말했다.	윌리엄스는 심판과의 대결 이후 경기 도중 코트에 들어간 US 오픈 관계자들에게 말했다.	1	2	2	F	윌리엄스 는 경기 도중 심판 과 맞붙 은 뒤 코트 에 들어간 US 오픈 관계자 들 에게 이렇게 말 했 다 .	윌리엄스 는 심판 과 의 대결 이후 경기 도중 코트 에 들어간 US 오픈 관계자 들 에게 말 했 다 .
117	118	Williams wasn't the only one who received a fine at this year's Wimbledon, though hers was the most costly.	윌리엄스가 올해 윔블던에서 벌금을 물은 유일한 선수는 아니었다. 물론 제일 많이 내긴 했지만 말이다.	윌리엄스만이 올해 윔블던에서 벌금형을 받은 것은 아니었지만 가장 많은 비용이 들었다.	윌리엄스만이 올해 윔블던에서 벌금을 물었던 것은 아니었지만, 그녀의 것이 가장 비싸다.	1	2	2	F	윌리엄스 만 이 올해 윔블던 에서 벌금형 을 받 은 것 은 아니 었 지만 가장 많 은 비용 이 들 었 다 .	윌리엄스 만 이 올해 윔블던 에서 벌금 을 물 었 던 것 은 아니 었 지만 , 그녀 의 것 이 가장 비싸 다 .
118	119	"Italian player Fabio Fognini was fined $3,000 for saying a ""bomb should explode"" at the tennis courts after he lost the third round to U.S. player Tennys Sandgren on Saturday."	이탈리아의 파비오 포그니니 선수는 토요일 미국의 테니스 샌드그렌 선수를 상대로 3라운드에서 패한 뒤 테니스 코트에서 '폭탄이나 터져라’고 말해 3천 달러의 벌금을 물었다.	"이탈리아 선수 파비오 포그니니가 테니스 코트에서 미국 선수 테니스 샌드그렌에게 3라운드에서 패한 뒤 ""폭탄이 터져야 한다""고 말해 벌금 3000달러를 선고받았다."	이탈리아 선수 파비오 포그니니는 25일 미국 선수 테니스 샌드그렌에게 3라운드에서 패한 뒤 테니스장에서 폭탄이 터져야 한다고 말해 3000달러의 벌금을 부과받았다.	1	2	1	F	"이탈리아 선수 파비오 포그니니 가 테니스 코트 에서 미국 선수 테니스 샌드 그 렌 에게 3 라운드 에서 패한 뒤 "" 폭탄 이 터져야 한다 "" 고 말 해 벌금 3000 달러 를 선고 받 았 다 ."	이탈리아 선수 파비오 포그니니 는 25 일 미국 선수 테니스 샌드 그 렌 에게 3 라운드 에서 패한 뒤 테니스장 에서 폭탄 이 터져야 한다고 말 해 3000 달러 의 벌금 을 부과 받 았 다 .
119	120	Nick Kyrgios of Australia was hit with two fines ― one for $3,000 and a second for $5,000 ― for unsportsmanlike conduct.	호주의 닉 키리오스 선수는 언스포츠맨라이크 컨덕트로 두 번이나 (처음은 3천 달러, 두 번째는 5천 달러) 벌금을 물었다.	호주의 닉 키르지오스는 스포츠맨답지 않은 행동으로 인해 한 명은 3,000달러에, 한 명은 5,000달러에 두 번째 벌금을 물었습니다.	호주의 닉 키르기오스는 스포츠맨답지 않은 행동으로 3천 달러에 1초에 5천 달러의 벌금을 부과받았다.	1	1	1	F	호주 의 닉 키 르 지오 스 는 스포츠맨 답 지 않 은 행동 으로 인해 한 명 은 3 , 000 달러 에 , 한 명 은 5 , 000 달러 에 두 번 째 벌금 을 물 었 습니다 .	호주 의 닉 키 르 기오 스 는 스포츠맨 답 지 않 은 행동 으로 3 천 달러 에 1 초 에 5 천 달러 의 벌금 을 부과 받 았 다 .
120	121	Civility in Politics: New awards scheme set up to counter Westminster division and recognise politicians who show courtesy	신사적인 정치: 영국의 분열을 막고자 예의 있는 정치인을 표창하는 새 수상 제도 마련해	정치에서의 예의: 웨스트민스터 사단에 맞서고 예의바른 정치인들을 인정하기 위해 마련된 새로운 상 제도	정치 시민: 웨스트민스터 부서에 대항하고 예의를 표하는 정치인들을 인정하기 위해 설립된 새로운 상 제도	1	2	2	F	정치 에서 의 예의 : 웨스트민스터 사단 에 맞서 고 예의 바른 정치인 들 을 인정 하 기 위해 마련 된 새로운 상 제도	정치 시민 : 웨스트민스터 부서 에 대항 하 고 예의 를 표 하 는 정치인 들 을 인정 하 기 위해 설립 된 새로운 상 제도
121	122	A new awards scheme has been set up to recognise politicians who show courtesy in their work.	공직 중 예의를 갖춘 정치인을 표창하기 위한 새로운 수상 제도가 마련되었다.	업무에 예의를 표하는 정치인들을 인정하기 위한 새로운 상 제도가 마련되었다.	그들의 작품에서 예의를 표하는 정치인들을 인정하기 위한 새로운 상 계획이 세워졌다.	1	2	3	F	업무 에 예의 를 표 하 는 정치인 들 을 인정 하 기 위한 새로운 상 제도 가 마련 되 었 다 .	그 들 의 작품 에서 예의 를 표 하 는 정치인 들 을 인정 하 기 위한 새로운 상 계획 이 세워졌 다 .
122	123	It comes after a divisive week in Westminster following the return of Parliament.	이 제도는 의회의 복귀로 영국 의회와 정부가 분열된 한 주를 보낸 후에 발표되었다.	의회가 복귀한 후 웨스트민스터에서 분열된 한 주가 지난 후다.	그것은 의회가 복귀한 후 웨스트민스터에서 분열적인 한 주 후에 나온 것이다.	1	2	1	F	의회 가 복귀 한 후 웨스트민스터 에서 분열 된 한 주 가 지난 후 다 .	그것 은 의회 가 복귀 한 후 웨스트민스터 에서 분열 적 인 한 주 후 에 나온 것 이 다 .
123	124	It was marked by threats against MPs and outrage over the language used by the likes of Prime Minister Boris Johnson.	당시는 하원의원이 협박을 받고 보리스 존슨 영국 총리급 공직자들이 말실수를 하여 분노로 점철된 시간이었다.	그것은 하원의원에 대한 위협과 보리스 존슨 같은 총리들이 사용하는 언어에 대한 분노로 두드러졌다.	그것은 하원의원에 대한 위협과 보리스 존슨 총리 같은 사람들이 사용하는 언어에 대한 분노로 특징지어졌다.	1	2	1	F	그것 은 하원 의원 에 대한 위협 과 보리스 존슨 같 은 총리 들 이 사용 하 는 언어 에 대한 분노 로 두드러졌 다 .	그것 은 하원 의원 에 대한 위협 과 보리스 존슨 총리 같 은 사람 들 이 사용 하 는 언어 에 대한 분노 로 특징지 어 졌 다 .
124	125	"To counter the division, the ""Civility in Politics"" awards were announced on Friday, with the politician of the year to be awarded £3,000 to give to charity."	이 같은 분열 상황을 방지하기 위해 지난 금요일 ‘신사정치’상이 공식 발표되었고, 올해의 정치인에게는 상금 3천 파운드를 수여하여 자선단체에 기부한다.	"분열에 대응하기 위해, ""정치에서의 시민상""이 금요일 발표되었고 올해의 정치인은 자선단체에 기부할 3,000파운드의 상금을 받게 되었다."	"이 부서에 대항하기 위해, 올해의 정치인이 자선단체에 기부하기 위해 3,000파운드를 받게 되는 ""정치의 시민""상이 금요일에 발표되었다."	1	1	2	F	"분열 에 대응 하 기 위해 , "" 정치 에서 의 시민 상 "" 이 금요일 발표 되 었 고 올해 의 정치인 은 자선 단체 에 기부 할 3 , 000 파운드 의 상금 을 받 게 되 었 다 ."	"이 부서 에 대항 하 기 위해 , 올해 의 정치인 이 자선 단체 에 기부 하 기 위해 3 , 000 파운드 를 받 게 되 는 "" 정치 의 시민 "" 상 이 금요일 에 발표 되 었 다 ."
125	126	Boris Johnson has been criticised for the tone of language he has used in the Commons chamber.	보리스 존슨 총리는 하원에서 사용했던 어조 때문에 비난을 받아왔다.	보리스 존슨은 하원에서 사용해 온 언어의 어조로 비난을 받아왔다.	보리스 존슨은 하원 의원실에서 사용했던 언어의 어조로 비판을 받아왔다.	1	1	1	T	보리스 존슨 은 하원 에서 사용 해 온 언어 의 어조 로 비난 을 받 아 왔 다 .	보리스 존슨 은 하원 의원 실 에서 사용 했 던 언어 의 어조 로 비판 을 받 아 왔 다 .
126	127	"Lord Stewart, announcing the awards, said: ""Everyone agrees that politics in the UK is facing a crisis of trust and a crisis of civility.”"	로드 스튜어트는 이 상을 발표하며 다음과 같이 밝혔다 : “영국 정치에서 신뢰와 예절이 위기에 직면했다는 데 우리 모두 동의한다.”	"스튜어트 경은 수상 소식을 전하며 ""영국의 정치가 신뢰의 위기와 공손함의 위기에 직면해 있다는 데 모두가 동의한다""고 말했다."	"스튜어트 경은 상을 발표하면서 ""영국의 정치가 신뢰의 위기와 예의의 위기에 직면해 있다는 것에 모두가 동의한다""고 말했다."	1	2	1	T	"스튜어트 경은 수상 소식 을 전하 며 "" 영국 의 정치 가 신뢰 의 위기 와 공손 함 의 위기 에 직면 해 있 다는 데 모두 가 동의 한다 "" 고 말 했 다 ."	"스튜어트 경은 상 을 발표 하 면서 "" 영국 의 정치 가 신뢰 의 위기 와 예의 의 위기 에 직면 해 있 다는 것 에 모두 가 동의 한다 "" 고 말 했 다 ."
127	128	As divisions and bitterness mount in the continuing debates around Brexit, we strongly believe that politics has to respond not by mirroring these trends, but by bucking them.”	“브렉시트에 대한 계속되는 논쟁으로 분열과 응어리가 쌓여가는 상황이지만, 우리는 정치란 이런 추세를 반영할 게 아니라 이에 맞서 싸우는 방식으로 해결해나가는 것이라고 굳게 믿는다.”	"이어 ""브렉시트를 둘러싼 계속되는 논쟁에서 분열과 씁쓸함이 고조되고 있는 만큼 정치권은 이러한 흐름을 반영해서가 아니라 거부함으로써 대응해야 한다고 본다""고 강조했다."	"브렉시트를 둘러싼 계속되는 논쟁에서 분열과 쓰라림이 고조되면서 정치는 이런 추세를 반영하는 것이 아니라 이를 물리침으로써 대응해야 한다고 강하게 믿고 있다."""	1	3	2	T	"이어 "" 브렉 시트 를 둘러싼 계속 되 는 논쟁 에서 분열 과 씁쓸 함 이 고조 되 고 있 는 만큼 정치 권 은 이러 한 흐름 을 반영 해서 가 아니 라 거부 함 으로써 대응 해야 한다고 본다 "" 고 강조 했 다 ."	"브렉 시트 를 둘러싼 계속 되 는 논쟁 에서 분열 과 쓰라림 이 고조 되 면서 정치 는 이런 추세 를 반영 하 는 것 이 아니 라 이 를 물리침 으로써 대응 해야 한다고 강 하 게 믿 고 있 다 . """
128	129	"These awards are a small attempt by a group of people in public life — of different and no political persuasions — to shine a spotlight on politicians who argue their case with decency and civility, and are able to engage and work with people across the divides that affect us all."""	“이 상은 자신의 주장을 펼침에 있어 품위와 예의를 갖추는 정치인, 당파를 넘어 모든 사람들과 교류하고 협력하는 정치인을 본보기로 세우기 위해 (정치적 신념이 다르거나 아예 없는) 소수 공직자들이 하고 있는 작은 시도이다.”	"""이러한 상은 공직생활에 종사하는 사람들의 작은 시도로, 예의와 공손함으로 자신의 주장을 주장하는 정치인들에게 스포트라이트를 비추고, 우리 모두에게 영향을 미치는 분열에 걸쳐 사람들과 교류하고 협력할 수 있습니다."""	"""이 상들은 다른 정치적 설득력이 없는 공공 생활에서 한 무리의 사람들이 품위와 예의범절로 자신들의 주장을 주장하는 정치인들에게 스포트라이트를 비추려는 작은 시도로, 우리 모두에게 영향을 미치는 분열을 가로질러 사람들과 참여하고 일할 수 있다."""	1	2	3	F	""" 이러 한 상 은 공직 생활 에 종사 하 는 사람 들 의 작 은 시도 로 , 예의 와 공손 함 으로 자신 의 주장 을 주장 하 는 정치인 들 에게 스포트라이트 를 비추 고 , 우리 모두 에게 영향 을 미치 는 분열 에 걸쳐 사람 들 과 교류 하 고 협력 할 수 있 습니다 . """	""" 이 상 들 은 다른 정치 적 설득력 이 없 는 공공 생활 에서 한 무리 의 사람 들 이 품위 와 예의 범절 로 자신 들 의 주장 을 주장 하 는 정치인 들 에게 스포트라이트 를 비추 려는 작 은 시도 로 , 우리 모두 에게 영향 을 미치 는 분열 을 가로질러 사람 들 과 참여 하 고 일 할 수 있 다 . """
129	130	Nominations will open on Saturday, with an award ceremony in March next year.	후보 추천은 토요일에 시작되며, 시상식은 내년 3월에 열린다.	후보작은 25일 개막하며 내년 3월 시상식이 열린다.	내년 3월 시상식과 함께 토요일에 후보작이 열린다.	1	2	2	F	후보 작 은 25 일 개막 하 며 내년 3 월 시상식 이 열린다 .	내년 3 월 시상식 과 함께 토요일 에 후보작 이 열린다 .
130	131	"In an exclusive interview with the Standard, former Cabinet minister Amber Rudd today accused Mr Johnson of deploying aggressive language that ""does incite violence."""	앰버 러드 전 장관이 오늘 진행된 더 스탠더드와의 독점 인터뷰에서 존슨 총리가 ‘폭력을 부추기는’ 공격적인 말투를 쓴다고 비난했다.	"앰버 러드 전 국무장관은 오늘 스탠더드와의 단독 인터뷰에서 존슨 전 장관이 폭력을 조장하는 공격적인 언어를 구사했다고 비난했습니다."""	"앰버 러드 전 내각 장관은 오늘 스탠더드와의 단독 인터뷰에서 존슨 전 총리가 ""폭력을 조장하는 공격적인 언어를 배치했다""고 비난했다."""	1	2	3	F	"앰버 러드 전 국무 장관 은 오늘 스탠더드 와 의 단독 인터뷰 에서 존슨 전 장관 이 폭력 을 조장 하 는 공격 적 인 언어 를 구사 했 다고 비난 했 습니다 . """	"앰버 러드 전 내각 장관 은 오늘 스탠더드 와 의 단독 인터뷰 에서 존슨 전 총리 가 "" 폭력 을 조장 하 는 공격 적 인 언어 를 배치 했 다 "" 고 비난 했 다 . """
131	132	"Mr Johnson, for his part, said he ""deplores"" threats made against MPs."	존슨 총리는 자신으로서는 하원의원들에 대한 협박이 ‘개탄스러운 일’이라고 밝혔다.	"존슨 씨는 하원의원에 대한 협박을 ""비방""한다고 말했다."	"존슨 씨는 하원의원들에 대한 위협을 ""개탄한다""고 말했다."	1	2	1	F	"존슨 씨 는 하원 의원 에 대한 협박 을 "" 비방 "" 한다고 말 했 다 ."	"존슨 씨 는 하원 의원 들 에 대한 위협 을 "" 개탄 한다 "" 고 말 했 다 ."
132	133	Jess Phillips, 'frightened' after receiving 'be afraid' death threats.	‘두려워하라’라는 살인 협박을 받고 ‘겁에 질린’ 제스 필립스 의원.	제스 필립스, '두려워' 죽음의 위협을 받고 '겁먹었어'	제스 필립스, '두려워' 죽음의 위협을 받은 후 '무서워'	1	2	2	T	제스 필립스 , ' 두려워 ' 죽음 의 위협 을 받 고 ' 겁먹 었 어 '	제스 필립스 , ' 두려워 ' 죽음 의 위협 을 받 은 후 ' 무서워 '
133	134	"On Thursday, Labour MP Jess Phillips — another one of those to have criticised Mr Johnson — said a man was arrested after trying to ""kick the door"" of her constituency office while reportedly shouting that she was a ""fascist."""	제스 필립스 노동당 하원의원은 존슨 총리를 비난한 의원 중 하나로, 한 남성이 자신의 선거 사무소 ‘문을 걷어 차려고’ 시도하며 자신을 ‘파시스트’라고 소리지르다가 체포됐다고 지난 목요일 밝혔다.	존슨 의원을 비난한 또 다른 의원인 제스 필립스 노동당 의원은 목요일 한 남성이 자신이 파시스트라고 외치다가 선거구 사무실 문을 걷어차려다 체포됐다고 말했다.	"존슨 씨를 비판한 또 다른 한 사람인 노동당 제스 필립스 하원의원은 한 남자가 자신의 선거구 사무실의 ""문을 두드리려다가"" 체포되었다고 말했다."	1	1	2	F	존슨 의원 을 비난 한 또 다른 의원 인 제스 필립스 노동당 의원 은 목요일 한 남성 이 자신 이 파시스트 라고 외치 다가 선거구 사무실 문 을 걷 어 차려다 체포 됐 다고 말 했 다 .	"존슨 씨 를 비판 한 또 다른 한 사람 인 노동당 제스 필립스 하원 의원 은 한 남자 가 자신 의 선거구 사무실 의 "" 문 을 두드리 려다가 "" 체포 되 었 다고 말 했 다 ."
134	135	Liberal Democrat leader Jo Swinson, meanwhile, was speaking to police following threats made to one of her young children.	한편, 조 스윈슨 자유민주당 대표는 자신의 어린 자녀가 협박당해 경찰에 신고했다.	한편, 자유민주당 조 스윈슨 대표는 그녀의 어린 자녀 중 한 명에게 위협이 가해지자 경찰에게 말했다.	한편 자유민주당 조 스윈슨 대표는 어린 아이들 중 한 명에게 한 위협에 따라 경찰에 신고했다.	1	2	3	F	한편 , 자유민주당 조 스윈 슨 대표 는 그녀 의 어린 자녀 중 한 명 에게 위협 이 가해 지 자 경찰 에게 말 했 다 .	한편 자유민주당 조 스윈 슨 대표 는 어린 아이 들 중 한 명 에게 한 위협 에 따라 경찰 에 신고 했 다 .
135	136	And in a viral Twitter thread, Ellie Cooper, the daughter of senior Labour MP Yvette Cooper, described her fears for her mother in the wake of Ms Cox's murder.	또한 노동당의 원로 하원의원인 이베트 쿠퍼의 딸 엘리 쿠퍼는 콕스 의원이 살해된 후 자신의 어머니가 걱정된다고 트위터 스레드에 남겼다.	이베트 쿠퍼 노동당 하원의원의 딸 엘리 쿠퍼는 콕스 양의 살해 이후 자신의 어머니에 대한 두려움에 대해 글을 올렸다.	그리고 바이러스성 트위터 실에서 노동당의 이베트 쿠퍼 하원의원의 딸 엘리 쿠퍼는 콕스 여사의 살인 사건 이후 어머니에 대한 두려움을 묘사했다.	1	2	3	T	이베트 쿠퍼 노동당 하원 의원 의 딸 엘리 쿠퍼 는 콕스 양 의 살해 이후 자신 의 어머니 에 대한 두려움 에 대해 글 을 올렸 다 .	그리고 바이러스 성 트위터 실 에서 노동당 의 이베트 쿠퍼 하원 의원 의 딸 엘리 쿠퍼 는 콕스 여사 의 살인 사건 이후 어머니 에 대한 두려움 을 묘사 했 다 .
136	137	"She accused Mr Johnson of ""using language that helps incite violence toward MPs."""	그녀는 존슨 총리가 “사용하는 말투가 하원의원에 대한 폭력을 조장한다”고 비난했었다.	"그녀는 존슨씨가 ""의원에 대한 폭력을 선동하는 데 도움이 되는 언어를 사용했다""고 비난했다."	"그녀는 존슨 씨가 ""의원들에게 폭력을 조장하는 데 도움이 되는 언어를 사용한다""고 비난했다."	1	1	2	F	"그녀 는 존슨 씨 가 "" 의원 에 대한 폭력 을 선동 하 는 데 도움 이 되 는 언어 를 사용 했 다 "" 고 비난 했 다 ."	"그녀 는 존슨 씨 가 "" 의원 들 에게 폭력 을 조장 하 는 데 도움 이 되 는 언어 를 사용 한다 "" 고 비난 했 다 ."
