	Segment ID	Source Segment	Segment Origin	Ref	Ref_rating	MT_Z	MT_Z_rating	MT_Y	MT_Y_rating
52	53	"The Labour leader's film featured clips of Mrs Cox and a vigil held after her death, with the caption: ""Boris Johnson does not care about violence on our streets."""	b	"코빈 노동당 대표가 게재한 동영상에는 조 콕스 의원의 모습과 그녀가 죽은 후 열린 철야 기도회가 담겨 있고 다음과 같은 캡션이 달렸다. 보리스 존슨은 거리에서 일어나는 폭력에 관심이 없다."""	1	"노동당 지도자의 영화는 콕스 부인의 동영상과 그녀가 죽은 후 열린 밤샘을 특징으로 했다. ""보리스 존슨은 우리 거리에서의 폭력에 신경 쓰지 않는다."""	3	"노동당의 지도자의 영화에는 콕스 여사가 사망한 후 행해진 자위대의 동영상과 함께 ""보리스 존슨은 우리 거리의 폭력에 신경 쓰지 않는다""라는 문구가 삽입되어 있다."	2
53	54	"Critics said Mr Corbyn was using her murder to score ""cheap political points"" while her husband Brendan Cox said the Labour leader was ""wrong"" to infer hateful language was a ""simple party political issue."""	b	비평가들은 코빈 대표가 ‘값싼 정치적 점수’를 얻기 위해 콕스 의원의 피살 사건을 이용하고 있다고 말했고, 콕스 의원의 남편 브렌던 콕스는 증오의 발언을 ‘단순히 정당의 정치적 문제’로 해석하는 코빈 노동당 대표의 태도는 ‘잘못됐다’고 밝혔다.	1	"비평가들은 코빈 씨가 자신의 살인을 이용해 ""싸구려 정치적 포인트""를 얻고 있다고 말했고 그녀의 남편 브렌단 콕스는 노동당 대표가 증오하는 언어를 추론하는 것은 ""단순한 정당 정치 문제""라고 말했다."""	3	"비평가들은 코빈씨가 그녀의 살인을 ""싸구려 정치 점수""를 따기 위해 이용했다고 말했고 그녀의 남편 브렌던 콕스는 노동당의 지도자가 혐오스러운 언어를 추론하는 것은 ""단순한 정당 정치 문제""라고 말했다."""	2
54	55	"Mr Cox said: ""Jeremy is right that the best way to honour Jo is to defeat hatred and division."	b	"브렌던 콕스는 다음과 같이 말했다. ""조를 기리는 가장 좋은 방법은 증오와 분열을 물리치는 것이라는 제레미 대표의 말은 옳다."	1	"콕스 씨는 ""조를 기리는 가장 좋은 방법은 증오와 분열을 물리치는 것이라는 제레미의 말이 옳다."	2	"콕스씨는 ""제레미가 조를 기리는 가장 좋은 방법은 증오와 분열을 물리치는 것""이라고 말했다."	3
55	56	He's also right the PM has a particular responsibility.	b	그리고 조에게도 어떤 책임이 있다는 그의 말도 맞다.”	3	수상이 특별한 책임을 지고 있다는 것도 그의 말이 옳다.	1	그가 옳다 또한 수상은 특별한 책임이 있다.	2
56	57	But he's wrong to infer this is a simple party political issue.	b	그러나 이것을 단순히 정당의 정치적 문제로 해석하는 일은 잘못되었다.	1	"""하지만 이것이 단순한 정당 정치 문제라고 추론한 것은 그가 틀렸다."	2	"그는 ""그러나 이것이 단순한 정당정치적 문제라고 추론하는 것은 틀렸다."	3
57	58	Jo was passionately Labour but some things must transcend party politics.	b	조는 열정적인 노동당원이긴 했지만, 어떤 일은 정당을 초월해야 할 때도 있다.	1	"조 전 총리는 열정적으로 노동당이었지만 어떤 것들은 정당정치를 초월해야 한다."""	2	"조는 열정적으로 노동을 했지만 어떤 것들은 정당정치를 초월해야 한다."""	2
58	59	"He also shared a post which said Jo Cox's name was ""more than a political scoring point"" with the caption ""This. Thank you."""	b	또한 브렌던 콕스는 조 콕스의 이름은 ‘단순한 정치적 점수 그 이상’이라는 글에 ‘이 글. 감사합니다.’라는 캡션을 붙여 공유했다.	1	"그는 또한 조 콕스의 이름이 ""정치적 득점 포인트 이상""이라는 글과 ""이것""이라는 자막을 공유했다. 감사합니다."""	2	"그는 또한 조 콕스의 이름이 ""정치적 점수 이상""이라는 글과 함께 ""이것""이라는 글을 공유했다. 감사합니다."""	2
59	60	Mr Corbyn was facing a backlash for his video which opens with him talking about Mrs Cox's murder three years ago by a far-Right activist in her West Yorkshire constituency.	b	코빈 대표는 이 동영상으로 인해 역풍을 맞고 있다. 이 동영상은 3년 전 콕스 의원이 웨스트요크셔 선거구에서 어느 극우 운동가에 의해 살해된 사건에 대해 자신이 이야기하는 장면으로 시작한다.	1	코빈 씨는 3년 전 웨스트요크셔 선거구에서 극우 운동가에 의해 콕스 부인의 살인에 대해 이야기하면서 공개되는 그의 비디오에 대한 반발에 직면해 있었다.	3	코빈 씨는 웨스트 요크셔 선거구에서 3년 전 극우 운동가가 콕스 부인을 살해한 사건에 대해 이야기하는 동영상으로 인해 반발을 사고 있었다.	2
60	61	"Speaking over a montage of clips of Mrs Cox, Mr Johnson and female MPs, Mr Corbyn said: ""This Prime Minister knows these words can promote violence and have real consequences."	b	"코빈 대표는 콕스 의원, 존슨 총리, 여성 하원의원들의 영상을 짜깁기한 동영상에 대해 다음과 같이 말했다. ""총리는 이러한 발언이 폭력을 조장하고 실제 범죄로 이어질 수 있다는 걸 안다."	1	"코빈 총리는 콕스 여사, 존슨 여사, 여성 하원의원들의 동영상에 대해 ""이 수상은 이 단어들이 폭력을 조장할 수 있고 실질적인 결과를 가져올 수 있다는 것을 알고 있다""고 말했다."	2	"콕스 여사와 존슨 의원, 그리고 여성 하원의원들의 몽타주를 통해 코빈 총리는 ""이 단어들이 폭력을 조장하고 실질적인 결과를 가져올 수 있다는 것을 알고 있다""고 말했다."	2
61	62	He wants division.	b	그는 분열을 원한다.	1	그는 분열을 원한다.	1	그는 분할을 원한다.	1
62	63	"Clearly, he doesn't care about the violence on our streets."""	b	"분명히, 그는 거리에서 일어나는 폭력에는 관심이 없다."""	1	"분명히 그는 우리 거리의 폭력에 대해 신경 쓰지 않는다."""	2	"분명히, 그는 우리 거리의 폭력에 대해 신경쓰지 않습니다."""	2
63	64	He goes on to criticise Mr Johnson and call for a Labour government.	b	코빈 대표는 계속해서 존슨 총리를 비난하며 노동당 정부에게 요구하고 있다.	1	그는 계속해서 존슨 씨를 비난하고 노동당 정부를 요구한다.	2	그는 계속해서 존슨씨를 비난하고 노동당 정부를 요구합니다.	2
64	65	"Mr Corbyn added: ""Many are deeply concerned about the language used by Boris Johnson, language which is being repeated by the far-Right."	b	"코빈 대표는 다음과 같이 덧붙였다. ""많은 사람들이 보리스 존슨 총리의 말투를 우려하고 있다. 그 말투를 극우 진영에서 따라하고 있다."	1	"코빈 씨는 ""많은 사람들이 극우파에 의해 반복되고 있는 언어인 보리스 존슨이 사용하는 언어에 대해 깊은 우려를 하고 있다""고 덧붙였다."	3	"코빈은 ""많은 사람들이 보리스 존슨이 사용하는 언어, 극우파가 반복하고 있는 언어에 대해 깊이 우려하고 있다""고 덧붙였다."	2
65	66	When this was raised with him by women MPs, who themselves face death threats, he arrogantly dismissed them.	b	여성 하원의원들이 살해 위협을 받으며 이에 대해 문제를 제기하면 그는 오만하게도 이를 묵살했다.	1	이것이 스스로 죽음의 위협에 직면한 여성 하원의원들에 의해 그와 함께 제기되었을 때, 그는 오만하게 그들을 해고했다.	2	여성 의원들 스스로가 죽음의 위협을 받고 있는 상황에서 이 문제가 그와 함께 제기되자 그는 오만하게 그들을 해고했다.	3
66	67	"It was nothing short of disgraceful."""	b	정말 수치스러운 일이 아닐 수 없다.”	1	"수치스러운 일과 다를 바 없었다."""	1	"그것은 불명예나 다름없었다."""	1
67	68	"Former Labour MP John Woodcock shared the video and said: ""You can really shut up. Disgusting."""	b	"존 우드콕 노동당 전 하원의원은 이 동영상을 공유하며 다음과 같이 말했다. “당신은 이제 그만 입을 다물라. 역겹다."""	1	"존 우드콕 전 노동당 하원의원은 이 동영상을 공유하며 ""정말 입을 다물 수 있다. 혐오스럽다."""	2	"존 우드콕 전 노동당 하원의원은 동영상을 공유하며 ""당신은 정말로 입을 다물 수 있습니다. 역겨워."""	3
68	69	"Meanwhile Tory MP and business minister Nadhim Zahawi said: ""You are so wrong to use Jo Cox in this way, when her family have specifically asked for her not to be used in this way."	b	한편 보수당 하원의원이자 산업부 장관인 나드힘 자하위는 다음과 같이 말했다. “당신이 이런 식으로 조 콕스 의원의 이름을 사용하다니 정말 잘못됐다. 그녀의 가족이 이런 식으로 그녀의 이름을 사용하지 말아달라고 특별히 요청했는데도 말이다.	1	"한편 토리 하원의원과 나딤 자하위 경제장관은 ""조 콕스를 이런 식으로 사용하는 것은 너무 잘못된 것""이라며 ""그의 가족이 특별히 조 콕스를 이런 식으로 사용하지 말라고 요청했을 때""라고 말했다."	2	"한편 나딤 자하위 토리 하원의원과 사업부 장관은 ""조 콕스를 이런 식으로 사용하는 것은 잘못됐다""며 ""그녀의 가족들이 조 콕스를 이런 식으로 사용하지 말 것을 요구했다""고 말했다."	3
69	70	To be kept out of politics.	b	정치와 연루시키지 말라고.”	1	정치에 관여하지 않기 위해서입니다.	2	정치에 관여하지 않기 위해서.	2
70	71	If you have an ounce of decency Jeremy Corbyn you would take this video down.	b	제레미 코빈, 당신이 눈꼽만큼이라도 예의있는 사람이라면 이 동영상을 내리기 바란다.”	1	"""제러미 코빈에게 품위가 있다면 이 비디오를 내려갈 겁니다."""	3	"""제레미 코빈이 조금이라도 품위가 있다면 이 비디오를 내려놓을 수 있을 것입니다."""	2
71	72	"It follows a row over language in Parliament this week in which Mr Johnson said that the ""best way"" to honour Mrs Cox was to ""get Brexit done."""	b	그 후 이번 주 의회에서 존슨 총리가 콕스 의원을 기리는 “가장 좋은 방법”은 “브렉시트를 완수하는 일”이라고 발언하면서 논쟁이 이어졌다.	1	존슨 전 대통령이 콕스 여사를 기리는 가장 좋은 방법은 브렉시트를 성사시키는 것이라고 말한 이번 주 의회에서의 언어에 대한 논쟁에 이은 것이다.	3	"이번 주 의회에서는, 콕스 여사를 기리는 ""가장 좋은 방법""은 ""브렉시트(Brexit)를 이행하는 것""이라고 존슨 의원이 발언한 것에 대한 언쟁에 이어, 이 같은 사태가 벌어졌습니다."	2
72	73	"Her sister Kim Leadbeater called for a dialling down of extreme language saying it was ""not helpful to Jo's kids."""	b	"조 콕스 의원의 여동생 킴 리드비터는 극단적인 언어를 순화할 것을 요구하며 그게 언니의 자녀들에게 도움이 되지 않는다""고 말했다."	1	"그녀의 여동생 김 리드비터는 ""조씨의 아이들에게 도움이 되지 않는다""고 말하며 극단적인 언어를 줄여줄 것을 요구했다."	2	"그녀의 여동생 킴 리드비터는 ""조씨의 아이들에게 도움이 되지 않는다""며 극단적인 언어의 축소를 요구했다."""	3
73	74	"She told ITV: ""For me to come out and say outrageous things about Boris Johnson - I just don't think that's a useful way of moving forward."	b	"리드비터는 ITV에 다음과 같이 말했다. ""내가 나서서 보리스 존슨 총리에 대해 터무니없는 말을 늘어놓는 게 앞으로 나아가는 데 유용한지는 잘 모르겠다."	1	"그녀는 ITV와의 인터뷰에서 ""보리스 존슨에 대해 터무니없는 말을 하는 것은 나에게 도움이 되지 않는다고 생각한다""고 말했다."	3	"그녀는 ITV와의 인터뷰에서 ""내가 보리스 존슨에 대해 터무니없는 말을 하는 것은 앞으로 나아갈 유용한 방법이 아니라고 생각한다""고 말했다."	2
74	75	"I can say what I think is right and what I think is wrong but I'm going to try and do that in a measured manner."""	b	나는 무엇이 옳고 그른지 내 생각을 표현할 수는 있지만 그걸 신중하게 하려고 노력할 것이다.”	1	"옳다고 생각하는 것과 내가 잘못되었다고 생각하는 것을 말할 수는 있지만, 나는 그것을 측정된 방법으로 하려고 노력할 것이다."""	2	"내가 옳다고 생각하는 것과 틀렸다고 생각하는 것은 말할 수 있지만, 나는 그것을 신중하게 하려고 노력할 것이다."""	1
75	76	The daughter of Labour MP Yvette Cooper spoke out yesterday to say she constantly fears for her mother's life because of the way people speak about politicians.	b	이베트 쿠퍼 노동당 하원의원의 딸은 사람들이 정치인들에 대해 하는 말을 듣고 있으면 항상 어머니의 신변이 걱정된다고 어제 밝혔다.	1	노동당 이베트 쿠퍼 하원의원의 딸은 어제 사람들이 정치인에 대해 말하는 방식 때문에 어머니의 삶에 대해 끊임없이 두려워한다고 말했다.	3	Yvette Cooper 노동당 의원의 딸은 어제 사람들이 정치인에 대해 말하는 방식 때문에 어머니의 생명을 끊임없이 두려워한다고 말했다.	2
76	77	Ukraine scandal: Pelosi says Barr 'rogue'; former U.S. officials back investigation	a	우크라이나 스캔들: 펠로시 의원, 바 장관 “막나간다”; 전 미국 관료들에 대한 재조사	1	우크라이나 스캔들: 펠로시는 바가 '잘못된' 것이라고 말한다; 전 미국 관리들은 조사를 지지한다.	3	우크라이나 스캔들: 펠로시, 바 '불쾌하다'고 주장; 전직 미 관리들 조사	2
77	78	"House Speaker Nancy Pelosi accused U.S. Attorney General William Barr Friday of going ""rogue"" to protect President Donald Trump over his controversial phone call with Ukraine's leader, which has led to an impeachment inquiry."	a	금요일, 낸시 펠로시 하원의장은 윌리엄 바 미 법무장관이 우크라이나 대통령과 의심쩍은 통화 사건으로부터 트럼프 대통령을 보호하기 위해 “막나간다”고 비난했다. 이 사건을 계기로 대통령 탄핵 조사가 진행 중이다.	1	낸시 펠로시 하원의장은 28일(현지시간) 윌리엄 바 미 법무장관이 우크라이나 지도자와의 전화통화에 대해 도널드 트럼프 대통령을 보호하기 위해 '잘못된' 행동을 했다고 비난해 탄핵심문으로 이어졌다.	2	낸시 펠로시 하원의장이 26일(현지시간) 윌리엄 바 미국 법무장관이 우크라이나 지도자와 통화한 것과 관련해 도널드 트럼프 대통령을 보호하기 위해 '불법 행위'를 했다고 비난해 탄핵 심문이 이어지고 있다.	3
78	79	The California Democrat's words follow a release of the complaint Thursday, which was submitted by an unidentified intelligence official to Intelligence Community Inspector General Michael Atkinson.	a	캘리포니아 민주당원인 낸시 펠로시 의장의 이와 같은 발언은 신원 불명의 한 정보기관 관계자가 미국 정보커뮤니티의 마이클 앳킨슨 감사원장에게 제출한 신고서가 목요일 공개되고 난 뒤의 일이다.	1	캘리포니아 민주당의 발언은 신원 미상의 정보 당국자가 마이클 앳킨슨 정보공동체 감찰관에게 제출한 고소장이 목요일 공개된 데 이은 것이다.	2	캘리포니아 민주당의 이 같은 발언은 신원미상의 정보당국자가 마이클 앳킨슨 정보부 장관에게 제출한 불만사항 발표에 이은 것이다.	3
79	80	Atkinson turned it over to national intelligence director Joseph Maguire.	a	앳킨슨 원장은 이를 미 국가정보장실의 조셉 맥과이어 국정원장에게 전달했다.	1	앳킨슨은 그것을 조셉 맥과이어 국가정보국장에게 넘겼다.	2	앳킨슨은 국가정보국장 조셉 맥과이어에게 넘겼다.	3
80	81	Barr is mentioned several times in the July 25 phone call, as is Trump attorney Rudolph Giuliani.	a	바 장관의 이름도 7월 25일 전화통화에서 수차례 언급되었고 트럼프 대통령의 변호사 루돌프 줄리아니도 마찬가지이다.	1	트럼프 변호사 루돌프 줄리아니처럼 7월 25일 전화통화에서 바는 여러 차례 언급된다.	2	바는 7월 25일 통화에서 여러 차례 언급되었고, 트럼프측 변호사인 루돌프 줄리아니도 언급되었다.	3
81	82	"The complaint says White House officials were concerned enough that they attempted to ""lock down"" the record of the call."	a	이 신고서에 따르면, 백악관 관계자들이 너무 우려가 되어 이 통화 기록을 ‘은폐’하려고 했다.	1	"고소장은 백악관 관계자들이 통화 기록을 ""잠그려고"" 시도할 정도로 우려했다고 말한다."	2	"백악관 관리들이 통화 기록을 ""잠금""하려 할 정도로 우려를 표했다고 이 고소는 전했습니다."	2
82	83	[Barr has] gone rogue, Pelosi told MSNBC Friday.	a	“[바 장관이] 막나가기 시작했다”라고 펠로시 의장이 금요일 MSNBC에서 말했다.	1	"펠로시는 MSNBC와의 인터뷰에서 ""바가 악당이 됐다""고 말했다."	2	"펠로시 의장은 14일 MSNBC와의 인터뷰에서 ""바르가 불량으로 변했다""고 말했다."	3
83	84	I think where they're going is a cover-up of a cover-up.	a	“내 생각에 그들은 은폐 사실을 은폐하려는 것 같다.	1	그들이 어디로 가는지는 은폐라고 생각한다.	2	그들이 어디로 가는지 은폐하려는 것 같아.	3
84	85	I think it's sad, to have a Justice Department go so rogue.	a	법무부가 그런 식으로 막나가다니 슬픈 일이다.	1	법무부가 그렇게 나쁜 짓을 하다니 슬프다.	2	법무부가 그렇게 나쁜 짓을 하다니 슬프네요	2
85	86	Well, they have been for a while. And now it just makes matters worse.	a	뭐, 한동안은 그래왔다. 근데 이제는 그게 상황을 더욱 악화시키고 있다.”	1	음, 그들은 한동안 있었어. 그리고 이제 그것은 상황을 더 악화시킨다.	3	음, 그들은 꽤 오래되었어. 지금은 상황을 더 악화시킬 뿐이지	2
86	87	Pelosi announced an official impeachment investigation this week after Trump acknowledged he'd withheld military aid to Ukraine.	a	펠로시 의장은 트럼프 대통령이 우크라이나에 군사 지원을 요청했던 사실을 은폐했었다고 시인하자 이번 주에 공식적인 탄핵 조사를 발표했다.	3	펠로시는 트럼프가 우크라이나에 대한 군사 지원을 보류했다는 사실을 인정한 뒤 이번 주 공식 탄핵 조사를 발표했다.	2	펠로시는 이번 주 트럼프 대통령이 우크라이나에 대한 군사 지원을 유보했음을 인정하자 공식 탄핵 조사를 발표했다.	1
87	88	The aid was ultimately granted, but House Democrats want to know whether there was any connection to the aid and Trump's asking Zelensky to investigate Hunter Biden, who worked for a Ukrainian gas company for five years.	a	결과적으로 우크라이나의 지원은 받았었지만, 하원 민주당원들이 알고 싶어하는 것은 그 군사적 지원과 트럼프가 당시 5년간 한 우크라이나 가스 회사에서 근무 중이던 헌터 바이든에 대한 조사를 젤렌스키 대통령에게 의뢰한 사건 사이의 연관성이다.	1	지원금은 궁극적으로 부여됐지만 하원 민주당 의원들은 지원금과 관련이 있는지, 트럼프가 젤렌스키에게 우크라이나 가스회사에서 5년간 일했던 헌터 바이든을 조사해 달라고 부탁한 사실을 알고 싶어한다.	2	이번 지원은 결국 승인됐지만 하원 민주당 의원들은 원조와 관련이 있는지 알고 싶어하고 트럼프는 젤렌스키에게 우크라이나 가스회사에서 5년간 일한 헌터 바이든을 조사하라고 요청했다.	3
88	89	Also Friday, nearly 300 former U.S. foreign policy and national security officials signed a letter supporting the impeachment investigation.	a	또한 금요일에는 300명에 달하는 전직 미국 대외 정책 및 국가안보 관계자들이 탄핵 조사를 지지하는 서한에 서명했다.	3	또한 금요일에는 거의 300명의 전직 미국 외교 정책과 국가 안보 관리들이 탄핵 조사를 지지하는 서한에 서명했다.	2	또한 금요일 거의 300명의 전직 미국 외교정책 및 국가안보 관료들이 탄핵 조사를 지지하는 서한에 서명했다.	1
89	90	"The coalition said Trump's actions constitute a ""profound national security concern."""	a	"이 집단은 트럼프의 행위가 심각한 국가안보 문제""라고 말했다."	2	연립정부는 트럼프의 조치가 '국가 안보 우려'에 해당한다고 밝혔다.	1	"연합은 트럼프의 행동이 ""심각한 국가 안보 우려""라고 말했다."	2
90	91	We applaud those members of Congress, including Speaker Pelosi, who have started us down that necessary path, the letter states.	a	"이 서한에는 ""우리가 이 중요한 길을 걷을 수 있게 해준 펠로시 의장을 비롯한 하원의원들에게 찬사를 보낸다""라고 적혀 있다."	1	"서한에는 ""우리는 펠로시 의장을 포함한 의회 의원들에게 박수를 보낸다""고 적혀 있다."	2	"서한에는 ""우리는 펠로시 의장을 포함한 의회 의원들에게 박수를 보낸다""고 적혀 있다."	2
91	92	President Trump appears to have leveraged the authority and resources of the highest office in the land to invite additional foreign interference into our democratic process.	a	트럼프 대통령은 미국 최고 지위인 대통령으로써의 권력과 자원을 이용하여 우리나라의 민주적인 절차에 외세가 개입하게 했다.	2	트럼프 대통령은 이 땅 최고위직의 권한과 자원을 활용해 우리의 민주적 과정에 추가적인 외국인 간섭을 불러온 것으로 보인다.	1	트럼프 대통령은 이 땅에서 최고위직의 권위와 자원을 활용해 우리 민주주의 과정에 추가적인 외국의 간섭을 유도한 것으로 보인다.	1
92	93	That would constitute an unconscionable abuse of power.”	a	이는 몰지각한 권력 남용이다.”	1	"그건 비양심적인 권력 남용이 될 거야."""	2	"그것은 비양심적인 권력 남용이 될 것입니다."""	2
93	94	It would also represent an effort to subordinate America's national interests — and those of our closest allies and partners — to the president's personal political interest.	a	또한 이는 대통령 개인의 정치적 이익 때문에 미국의 (그리고 우리와 가장 가까운 동맹국들 및 파트너 국가들의) 국익을 경시하려는 행위이다.”	1	"""그것은 또한 미국의 국익, 그리고 우리의 가장 가까운 동맹국과 파트너들의 이익을 대통령의 개인적인 정치적 이익에 종속시키려는 노력을 나타낼 것이다."""	2	"""그것은 또한 미국의 국익, 그리고 우리의 가장 가까운 동맹국들과 파트너들의 이익을 대통령의 개인적 정치적 이익에 종속시키려는 노력을 의미할 것입니다."""	2
94	95	Trump has denied there was any impropriety with the phone call.	a	트럼프 대통령은 당시 전화통화에 부적절한 부분은 없었다며 부인했다.	1	트럼프는 전화에 부적합한 점이 없다고 부인했다.	3	트럼프는 이 전화에 어떠한 부적절함도 없다고 부인했다.	2
95	96	"Friday, he denounced the complainant and again said the call with Zelensky was a ""perfect conversation."""	a	그리고 금요일, 그는 이 신고서를 맹렬히 비판하면서 젤렌스키 대통령과 통화하며 “완벽한 대화”를 했다고 거듭 밝혔다.	3	"그는 금요일 이 불만자를 비난하고 젤렌스키와의 통화는 ""완벽한 대화""라고 말했다."""	2	"금요일, 그는 고소인을 비난하고 젤렌스키와의 통화는 ""완벽한 대화였다""고 다시 말했다."""	1
96	97	Sounding more and more like the so-called whistle-blower isn't a whistle-blower at all, he tweeted.	a	“소위 내부 고발자라는 자가 점점 더 내부 고발자가 전혀 아닌 것 같다”라고 그는 트위터에 올렸다.	1	"그는 트위터에 ""소위 내부고발자가 전혀 내부고발자가 아닌 것처럼 점점 더 많이 들린다""고 밝혔다."	3	"그는 트위터를 통해 ""점점 내부고발자처럼 들리는 것은 내부고발자가 아니다""라고 밝혔다."	2
97	98	In addition, all second-hand information that proved to be so inaccurate that there may not have been somebody else, a leaker or spy, feeding it to him or her?	a	“게다가 전부 간접적으로 얻은 그의 정보가 불명확한 것으로 드러나고 있어서 그/그녀에게 정보를 제공하는 기밀 누설자나 스파이가 배후에 있는 게 아닌가?	1	"""게다가 너무 부정확하다는 것이 증명된 모든 간접 정보, 누설자나 스파이가 그나 그녀에게 먹이를 주지 않았을지도 모르는 다른 사람이 있었을까?"	3	"""게다가, 너무 부정확한 것으로 판명된 모든 중고 정보는 유출자나 스파이가 그 사람에게 정보를 제공하는 것이 아니었을까요?"	2
98	99	A partisan operative?	a	혹은 정치 공작원?”	1	"당파적 공작원이라고요?"""	3	"당파 공작원?"""	2
99	100	Vice President Mike Pence also had interactions with Ukrainian leaders, the whistle-blower complaint shows, and he met with Zelensky in Poland earlier this month.	a	내부 고발자의 신고서에 따르면, 마이크 펜스 부통령도 우크라이나 지도자들과 교류가 있었으며 그가 이번 달 초에 폴란드에서 젤렌스키 대통령을 만났다.	1	마이크 펜스 부통령도 우크라이나 지도자들과 교류를 했고, 내부고발자 불만쇼에서는 이달 초 폴란드에서 젤렌스키를 만났다.	2	마이크 펜스 부통령은 내부고발자 고발 쇼인 우크라이나 지도자들과도 교류를 했으며 이달 초 폴란드에서 젤렌스키 대통령과 만났다.	2
100	101	He said neither Joe Biden or Hunter Biden were discussed.	a	조 바이든이나 헌터 바이든에 대한 논의는 없었다고 그는 말했다.	1	그는 조 바이든이나 헌터 바이든 둘 다 논의되지 않았다고 말했다.	2	그는 조 바이든이나 헌터 바이든 모두 논의되지 않았다고 말했다.	2
