	Ref	Google Before	Google After	TER
101	테니스 여제 윌리엄스(37)는 화요일 8강전에서 앨리슨 리스크에게 승리한 뒤 가진 기자들과의 인터뷰에서 벌금을 대수롭지 않게 여기는 듯 보였다.	37세의 이 테니스 스타는 화요일 Alison Riske와의 8강전에서 승리한 후 기자들과 이야기하는 동안 벌금을 으쓱하는 것처럼 보였습니다.	37 세의 테니스 스타는 화요일에 앨리슨리스 (Alison Riske)에 대한 앨리슨리스 (Alison Riske)에 대한 일치판 라운드를 획득 한 후 기자에게 말하면서 멋진 곳에서 어깨를 으 내고 있습니다.	0.8846
102	"벌금에 대해 묻자 윌리엄스는 ""솔직히 벌금에 대해 별로 생각해 본 적이 없다""고 말했다."	벌금에 대해 묻자 그녀는 “솔직히 생각해본 적이 없다”고 말했다.	"""나는 정말로 그것에 대해 생각하지 못했습니다.""그녀는 괜찮은 것에 대해 물어볼 때 말했습니다."	0.9167
103	그저 라켓을 던졌을 뿐인데	방금 라켓을 던졌습니다.	방금 내 라켓을 던졌다.	0.5
104	벌금을 물게 되었다.	벌금을 냈습니다.	나는 벌금이 부과된다.	1.0
105	윌리엄스는 그 행동으로 어떤 손상을 입혔는지 모르겠다고 말했다.	Williams는 그것이 어떻게 피해를 입힐 수 있었는지 모른다고 말했습니다.	윌리엄스는 그녀가 그게 어떻게 손해를 줄 수 있었는지 알지 못했습니다.	0.7
106	"“그러니까 나에게 설명을 해줄 수 있다면 참 고맙겠다""라고 윌리엄스는 기자들에게 말했다."	"그녀는 기자들에게 ""내 말은, 당신이 나에게 말해줄 수 있다면 감사할 것 같다""고 말했다."	"""나는 네가 나에게 말할 수 있다면, 나는 그것을 고맙게 생각한다.""라고 그녀는 기자들에게 말했다."	0.7692
107	그러니까 내 안에는 항상 어벤저스가 있었다.	내 말은, 나는 항상 마음속으로 어벤져였습니다.	"""나는 항상 나는 항상 내 마음 속에 복수 자였습니다."	0.7778
108	내가 힘이 너무 센 건지.	어쩌면 나는 매우 강하다.	어쩌면 나는 슈퍼 강한 것일 수도 있습니다.	0.7143
109	잘 모르겠다.”	모르겠어.	"나는 모른다. """	1.0
110	윌리엄스는 여덟 번째 윔블던 타이틀을 노리고 있고, 그렇게 되면 통산 24번째 그랜드 슬램 대회 우승을 거두게 된다.	Williams는 24번째 그랜드 슬램 우승이 되는 8번째 Wimbledon 우승 이후입니다.	Williams는 그녀의 여덟 번째 윔블던 타이틀 이후, 그녀의 24 번째 그랜드 슬램 승리가 될 것입니다.	0.8667
111	윌리엄스는 체코의 바보라 스트리코바 선수와 목요일 단식 준결승전에서 맞붙는다.	그녀는 목요일 체코 선수 바르보라 스트리코바를 상대로 단식 준결승에 진출합니다.	그녀는 목요일에 Czech Player Barbora Strýcová에 대한 싱글 준결승을 발전시키고 있습니다.	0.9091
112	윌리엄스는 작년에도 US 오픈에서 그녀가 경기 도중 불법으로 코치와 대화한 혐의를 심판이 제기하자 심판에게 자신을 해명하다가 총 17,000달러의 벌금을 물은 바 있다.	윌리엄스는 또한 US 오픈에서 경기 중 코치와 불법적으로 의사 소통을 했다고 비난한 심판으로부터 자신을 변호한 후 총 17,000달러의 벌금을 부과받았습니다.	Williams는 또한 성냥 중에 그녀의 코치와 불법적으로 의사 소통을받는 사람을 비난 한 U.S.에서 그녀가 불법적으로 의사 소통을받지 않은 미국에서 심판을 방지 한 후에 총 17,000 달러를 벌이 었습니다.	0.8571
113	이 사건에서 심판은 윌리엄스가 세 가지 규칙을 위반했다고 지적했다. 첫째, 불법 코칭을 받은 점, 둘째, 실망감 때문에 테니스 라켓을 부순 점, 셋째, 심판에게 항의하며 ‘도둑’이라고 부른 점이다.	"그 사건 동안 심판은 Williams에게 세 가지 규정 위반을 발표했습니다. 하나는 불법적인 코칭을 받았고, 두 번째는 좌절감에 테니스 라켓을 깨뜨린 것이었고, 세 번째는 심판과 대면하여 그를 ""도둑""이라고 불렀습니다."	"그 사건 중에 심판은 윌리엄스에게 3 개의 코드 위반을 발표했습니다. 불법 코칭을받는 사람, 좌절감에 맞는 그녀의 테니스 라켓을 깨뜨리고 심판에 직면하고 그를 ""도둑""이라고 불렀던 것입니다."	0.8
114	윌리엄스의 많은 팬들은 심판이 윌리엄스에게 필요 이상으로 냉정하게 반응했다고 주장했다. 특히 스포츠 역사상 남자 선수들이 자제심을 잃었을 때를 고려해보면 말이다.	많은 Williams' 팬들은 스포츠 역사 전반에 걸쳐 특히 남성 선수들의 몰락을 고려할 때 심판이 그녀에게 불필요하게 가혹한 반응을 보였다고 주장했습니다.	"많은 윌리엄스의 팬들은 심판이 그녀에게 불필요하게 가혹하게 혹독했으며, 특히 남성 선수들이 ""스포츠의 역사를 통해 붕괴를 고려했다""고 주장했다."	0.8235
115	“당신은 다른 남자 선수들이 그것보다 얼마나 더 심한 행동을 하는지 아느냐?”	"""그보다 훨씬 더 나쁜 짓을 하는 남자가 얼마나 많은 줄 아세요?"""	"""다른 사람들이 얼마나 많은 사람들이 그보다 더 나쁜 일을하는지 아십니까?"""	1.0
116	윌리엄스가 심판에게 항의한 뒤 US 오픈 관계자들이 경기 도중 코트에 들어오자 그녀는 그들에게 말했다.	윌리엄스는 심판과 대치 후 경기 중 코트에 입장한 US오픈 관계자들에게 말했다.	윌리엄스는 심판과의 대결을 마친 후 법원에 들어간 미국을 열었습니다.	1.1111
117	윌리엄스가 올해 윔블던에서 벌금을 물은 유일한 선수는 아니었다. 물론 제일 많이 내긴 했지만 말이다.	윌리엄스가 올해 윔블던에서 벌금을 부과받은 유일한 사람은 아니었지만, 그녀가 가장 많이 받은 벌금이었습니다.	Williams는 Hers가 가장 비싸지 만, 올해의 윔블던에서 벌금을받은 유일한 사람이 아니 었습니다.	1.0833
118	이탈리아의 파비오 포그니니 선수는 토요일 미국의 테니스 샌드그렌 선수를 상대로 3라운드에서 패한 뒤 테니스 코트에서 '폭탄이나 터져라’고 말해 3천 달러의 벌금을 물었다.	"이탈리아 선수 파비오 포그니니(Fabio Fognini)가 토요일 테니스 코트에서 미국 선수 테니스 샌드그렌(Tennys Sandgren)에게 3라운드에서 패한 후 ""폭탄이 터져야 한다""고 말한 혐의로 3,000달러의 벌금을 부과받았다."	"이탈리아 선수 Fabio Fognini는 토요일에 U.S. Player Tennys Sandgren에게 3 라운드를 잃은 후 테니스 코트에서 ""폭탄이 폭발""을 ""폭탄이 폭발해야한다""고 약 3,000 달러를 벌었습니다."	0.8261
119	호주의 닉 키리오스 선수는 언스포츠맨라이크 컨덕트로 두 번이나 (처음은 3천 달러, 두 번째는 5천 달러) 벌금을 물었다.	호주의 닉 키르기오스(Nick Kyrgios)는 스포츠맨답지 않은 행위로 3,000달러와 5,000달러의 두 가지 벌금형을 받았습니다.	호주의 Nick Kyrgios는 2 개의 벌금이났다.	2.0
120	신사적인 정치: 영국의 분열을 막고자 예의 있는 정치인을 표창하는 새 수상 제도 마련해	정치의 시민성: 웨스트민스터 분열에 대응하고 예의를 보여주는 정치인을 인정하기 위한 새로운 시상 제도	정치의 정중함 : 새로운 상 수상 방식은 웨스트 민스터 부문을 카운터로 설정하고 예의를 보여주는 정치인을 인정합니다.	0.8125
121	공직 중 예의를 갖춘 정치인을 표창하기 위한 새로운 수상 제도가 마련되었다.	공로를 인정하는 정치인을 표창하기 위한 새로운 시상 제도가 마련되었습니다.	새로운 상을 수여하는 계획은 그들의 일에 예의를 끄는 정치인을 인식하기 위해 설립되었습니다.	1.0
122	이 제도는 의회의 복귀로 영국 의회와 정부가 분열된 한 주를 보낸 후에 발표되었다.	의회가 반환된 후 웨스트민스터에서 분열된 한 주가 지난 후입니다.	그것은 의회의 반환에 따라 웨스트 민스터에서 분열 된 주간 이후입니다.	1.0
123	당시는 하원의원이 협박을 받고 보리스 존슨 영국 총리급 공직자들이 말실수를 하여 분노로 점철된 시간이었다.	보리스 존슨 총리와 같은 사람들이 사용하는 언어에 대한 분노와 하원의원에 대한 위협으로 표시되었습니다.	그것은 Boris Johnson 총리의 좋아하는 언어로 인해 MPS에 대한 위협으로 표현되었다.	1.0
124	이 같은 분열 상황을 방지하기 위해 지난 금요일 ‘신사정치’상이 공식 발표되었고, 올해의 정치인에게는 상금 3천 파운드를 수여하여 자선단체에 기부한다.	"분열에 대응하기 위해 금요일에 ""정치의 시민"" 상이 발표되었으며 올해의 정치인에게는 자선 단체에 3,000파운드가 수여되었습니다."	"부문에 부합하기 위해 ""정치의 정치""상은 금요일에 발표되었으며, 해당 연도의 정치가가 자선 단체를주기 위해 3,000 파운드를 수여하는 것입니다."	0.8824
125	보리스 존슨 총리는 하원에서 사용했던 어조 때문에 비난을 받아왔다.	보리스 존슨은 하원에서 그가 사용한 언어 어조로 비판을 받았습니다.	Boris Johnson은 Commons Chamber에서 사용한 언어의 톤을 비판 받았습니다.	0.7778
126	로드 스튜어트는 이 상을 발표하며 다음과 같이 밝혔다 : “영국 정치에서 신뢰와 예절이 위기에 직면했다는 데 우리 모두 동의한다.”	스튜어트 경(Lord Stewart)은 상을 발표하면서 “영국 정치가 신뢰의 위기와 시민의식의 위기에 직면해 있다는 데 모두가 동의합니다.	"Shewart, Sewart는 상을 수여합니다. ""모든 사람들은 영국의 정치가 신뢰의 위기와 정중함의 위기에 직면 해 있습니다."""	0.8667
127	“브렉시트에 대한 계속되는 논쟁으로 분열과 응어리가 쌓여가는 상황이지만, 우리는 정치란 이런 추세를 반영할 게 아니라 이에 맞서 싸우는 방식으로 해결해나가는 것이라고 굳게 믿는다.”	"""브렉시트를 둘러싼 계속되는 논쟁에서 분열과 괴로움이 커지면서 우리는 정치가 이러한 추세를 반영하는 것이 아니라 저항함으로써 대응해야 한다고 굳게 믿습니다."	"""BREXIT 주변의 지속적인 토론에있는 부서와 쓴 민족은 정치가 이러한 추세를 미러링하지 않고 그들을 버리려함으로써 정치가 반응하지 않아도되고 있다고 믿습니다."""	0.8947
128	“이 상은 자신의 주장을 펼침에 있어 품위와 예의를 갖추는 정치인, 당파를 넘어 모든 사람들과 교류하고 협력하는 정치인을 본보기로 세우기 위해 (정치적 신념이 다르거나 아예 없는) 소수 공직자들이 하고 있는 작은 시도이다.”	"""이 상은 정치적 설득이 전혀 다른 공적 삶의 사람들이 자신의 주장을 품위와 정중함으로 주장하고 분열을 넘어 사람들과 교류하고 협력할 수 있는 정치인에게 스포트라이트를 비추기 위한 작은 시도입니다. 그것은 우리 모두에게 영향을 미칩니다."""	"""이러한상은 사례와 정중함으로 사건을 주장하는 정치인들에 대한 스포트라이트를 비추고, 분할을 가로 지르는 사람들과의 스포트라이트를 비추는 것은""이러한상은 삶의 삶의 작은 시도가 적다. 그것은 우리 모두에게 영향을 미칩니다. """	1.0741
129	후보 추천은 토요일에 시작되며, 시상식은 내년 3월에 열린다.	후보 선정은 토요일에 열리며 시상식은 내년 3월에 있을 예정이다.	후보자는 내년 3 월에 수상 의식으로 토요일에 열리게 될 것입니다.	1.0
130	앰버 러드 전 장관이 오늘 진행된 더 스탠더드와의 독점 인터뷰에서 존슨 총리가 ‘폭력을 부추기는’ 공격적인 말투를 쓴다고 비난했다.	"Standard와의 독점 인터뷰에서 Amber Rudd 전 내각 장관은 오늘 Johnson이 ""폭력을 선동하는"" 공격적인 언어를 사용하고 있다고 비난했습니다."	"표준과 독점적 인 인터뷰에서는 Amber Rudd 장관이 오늘날 Amber Rudd 장관이 ""폭력을 선사하는""공격적인 언어를 배치하는 Johnson을 비난했습니다."	0.7647
131	존슨 총리는 자신으로서는 하원의원들에 대한 협박이 ‘개탄스러운 일’이라고 밝혔다.	"존슨 총리는 의원들에 대한 위협을 ""개탄한다""고 말했다."	"존슨 (Johnson)은 그의 부분을 위해 MPS에 대한 ""Deprores""위협 ""을 말했습니다."	0.8
132	‘두려워하라’라는 살인 협박을 받고 ‘겁에 질린’ 제스 필립스 의원.	Jess Phillips는 '두려운'죽음의 위협을받은 후 '무서워'	Jess Phillips, '두려워'죽음의 위협을받은 후 '두려워'.	0.5
133	제스 필립스 노동당 하원의원은 존슨 총리를 비난한 의원 중 하나로, 한 남성이 자신의 선거 사무소 ‘문을 걷어 차려고’ 시도하며 자신을 ‘파시스트’라고 소리지르다가 체포됐다고 지난 목요일 밝혔다.	"존슨 총리를 비판한 또 다른 의원인 노동당 의원 제스 필립스는 목요일에 한 남성이 그녀가 ""파시스트""라고 소리치면서 그녀의 선거구 사무실을 ""차기""하려다 체포됐다고 말했다."	"목요일, 노동 MP Jess Phillips - 존슨 (Johnson) 씨를 비판받은 사람들 중 하나는 그녀가 ""파시스트 주의자""라고 생각하면서 그녀의 찬양지 사무실의 ""문을 걷어차""를 시도한 후에 남자가 체포되었다고 말했습니다."	0.9259
134	한편, 조 스윈슨 자유민주당 대표는 자신의 어린 자녀가 협박당해 경찰에 신고했다.	한편 자민당 대표인 조 스윈슨은 어린 자녀 중 한 명을 위협한 후 경찰에 진술했습니다.	그 사이에 자유 민주당의 지도자 조윈슨은 어린 아이들 중 한 명에게서의 위협에 따라 경찰과 이야기하고있었습니다.	0.8
135	또한 노동당의 원로 하원의원인 이베트 쿠퍼의 딸 엘리 쿠퍼는 콕스 의원이 살해된 후 자신의 어머니가 걱정된다고 트위터 스레드에 남겼다.	그리고 바이러스 성 Twitter 스레드에서 노동당 상임 의원 Yvette Cooper의 딸인 Ellie Cooper는 Ms Cox의 살해 이후에 그녀의 어머니에 대한 두려움을 설명했습니다.	그리고 바이러스 트위터 스레드에서 엘리 쿠퍼 (Ellie Cooper)는 수석 노동력의 딸였습니다. MP Took coper는 MS Cox의 살인의 일로 인해 어머니를위한 그녀의 두려움을 묘사했습니다.	0.7826
136	그녀는 존슨 총리가 “사용하는 말투가 하원의원에 대한 폭력을 조장한다”고 비난했었다.	"그녀는 존슨 총리가 ""의원에 대한 폭력을 조장하는 데 도움이 되는 언어를 사용하고 있다""고 비난했다."	"그녀는 ""MPS에 폭력을 돕는 언어 사용""의 Johnson을 ""MPS에 보관하는 데 도움이됩니다."""	1.0909
137	데이비드 애튼버러, 동물과 색상에 대한 새 다큐멘터리 제작해	David Attenborough 동물 및 색상에 대한 새로운 다큐멘터리 작업	David Attenborough 동물 및 색상에 대한 새로운 다큐멘터리 작업	0.0
138	데이비드 애튼버러는 93세의 나이에도 불구하고 자연 분야의 상징적인 권위자로서 활동을 늦추지 않고 있다.	데이비드 attenborough는 93 세이지만 상징적 인 자연 전문가가 아직 둔화되지 않습니다.	데이비드 attenborough는 93 세이지만 상징적 인 자연 전문가가 아직 둔화되지 않습니다.	0.0
139	그렇다, 그의 획기적인 넷플릭스 다큐멘터리인 ‘우리의 지구’의 성공 이후 사랑받는 스타인 애튼버러는 새로운 시리즈를 통해 컴백할 예정이다. 바로 ‘생명의 색채'이다.	아니요, 그의 획기적인 Netflix 다큐멘터리의 성공 후 우리 행성은 많은 사랑받는 별이 다른 시리즈로 돌아갈 것입니다 : 삶의 색상.	아니요, 그의 획기적인 Netflix 다큐멘터리의 성공 후 우리 행성은 많은 사랑받는 별이 다른 시리즈로 돌아갈 것입니다 : 삶의 색상.	0.0
140	이번에는 두 아이를 둔 애튼버러가 이 프로그램을 위해 특수 제작된 최첨단 카메라를 통해 동물들이 일상생활에서 색상을 어떻게 활용하는지 살펴볼 것이다.	이번에는 아버지 두 사람이 동물을 위해 특별한 기술 카메라를 통해 그들의 삶에서 동물을 사용하는 방법을 살펴 보겠습니다.	이번에는 아버지 두 사람이 동물을 위해 특별한 기술 카메라를 통해 그들의 삶에서 동물을 사용하는 방법을 살펴 보겠습니다.	0.0
141	"BBC에 따르면, 애튼버러의 목표는 ""보통 인간의 눈으로는 볼 수 없는 색상의 세계""를 보여주는 것이다. 그리고 그건 진심으로 멋질 것 같다."	"BBC는 별이 ""인간의 눈에 보이지 않는 색상의 세계""를 보여주는 것을 목표로하고 진정으로 매혹적인 것으로 들린다."	"BBC는 별이 ""인간의 눈에 보이지 않는 색상의 세계""를 보여주는 것을 목표로하고 진정으로 매혹적인 것으로 들린다."	0.0
142	그러나 팬들이 이 신작의 개봉을 손꼽아 기다리고 있긴 하지만, 2021년까지 방영되지 않을 모양인 만큼 우리 모두 그때까지 참고 기다려야 할 것 같다.	그러나 팬들이 다가오는 방출을 위해 열심이 있음에도 불구하고, 우리는 우리 모두가 2021 년까지 우리 화면을 떨어 뜨리지 않을 것처럼 꽉 앉을 필요가있는 것 같습니다.	그러나 팬들이 다가오는 방출을 위해 열심이 있음에도 불구하고, 우리는 우리 모두가 2021 년까지 우리 화면을 떨어 뜨리지 않을 것처럼 꽉 앉을 필요가있는 것 같습니다.	0.0
143	그러나 기다린 보람이 있을 것이라 장담한다.	그러나 우리는 그것이 기다릴만한 가치가있을 것입니다.	그러나 우리는 그것이 기다릴만한 가치가있을 것입니다.	0.0
144	이달 초, 데이비드는 런던의 한 권위 있는 시상식에서 TV 초이스의 평생 공로상을 수상했다.	이번 달 이전에 David는 런던의 명성 의식에서 TV Choice Lifetime Achievement Award와 함께 제공되었습니다.	이번 달 이전에 David는 런던의 명성 의식에서 TV Choice Lifetime Achievement Award와 함께 제공되었습니다.	0.0
145	국보급 감독인 데이비드는 60년에 걸친 자신의 커리어를 통해 수백만에게 즐거움을 선사했다.	국보는 60 년 동안이기 때문에 경력을 쌓았습니다.	국보는 60 년 동안이기 때문에 경력을 쌓았습니다.	0.0
146	수상하는 순간에 그는 열정적으로 말했다. ”사실 그렇다.	"그의 공을 수집 할 때 기자들은 ""실제로,"	"그의 공을 수집 할 때 기자들은 ""실제로,"	0.0
147	내가 하는 일이 항상 즐거운 건 아니다. 때로는 사람들이 원치 않는 내용을 전달하기도 한다!”	내가하는 일은 항상 재미 있지 않고 때로는 사람들이 좋아하지 않는 것을 듣는 것입니다!	"내가하는 일은 항상 재미 있지 않고 때로는 사람들이 그들이 좋아하지 않는 것을 듣습니다! """	0.2143
148	하지만 이 상은 영광스럽고 매우 기쁜 일이다.	"""그러나 이것은 명예와 큰 기쁨입니다."""	"""그러나 이것은 명예와 큰 기쁨입니다."""	0.0
149	"TV 초이스는 수상자인 데이비드에 대해 다음과 같이 말했다. “데이비드 애튼버러 경은 아직도 일하고 배우고 프로그램을 제작하고 있다. 그는 영국의 영웅일 뿐만 아니라 세계적인 아이콘이다."""	"TV 선택은 우승자에게 ""아직도 일하고, 배우고, David Attenborough 선생님이 영국의 영웅이 아니라 글로벌 아이콘입니다."""	"TV 선택은 우승자에게 ""아직도 일하고, 배우고, David Attenborough 선생님이 영국의 영웅이 아니라 글로벌 아이콘입니다."""	0.0
150	이번 주 한 극지방 조사선이 데이비드의 이름을 빌리면서 다시 한번 그가 축하를 받았다.	이번 주, 다윗은 극지 연구 선박이 그 사람의 이름을 딴 것처럼 다시 한 번 축하 받았습니다.	이번 주, 다윗은 극지 연구 선박이 그 사람의 이름을 딴 것처럼 다시 한 번 축하 받았습니다.	0.0
151	데이비드는 윌리엄 왕자와 케이트 부부와 함께 머지사이드 비컨헤드에 위치 캐멀 레어드 사의 한 조선소에서 열린 명명식에 참여했다.	별은 Birkenhead, Merseyside의 Cammell Laird Shipyard에서의 명명 행사에 대한 프린스 윌리엄과 케이트 모두에 합류했습니다.	별은 Birkenhead, Merseyside의 Cammell Laird Shipyard에서의 명명 행사에 대한 프린스 윌리엄과 케이트 모두에 합류했습니다.	0.0
152	그는 이렇게 말했다. “지구가 커다란 문제에 직면해 있다는 것은 여러분 모두에게 새로운 소식이 아닐 것이다. 이 사실을 누구보다 잘 알고 있는 건 이 세상을 물려받을 오늘날의 젊은이들이다.”	"그는 이렇게 말했습니다. ""세상이 위대하고 위대한 문제와 가장 인식하는 것은 오늘의 젊은이 들이이 세상을 상속받을 것입니다."	"그는 이렇게 말했습니다. ""세상이 위대하고 위대한 문제와 가장 인식하는 것은이 세상을 상속받을 수있는 젊은이들입니다."""	0.4286
153	엄청난 문제를 해결하기 위해서는 엄청난 연구와 사실이 필요하다.”	"""큰 문제는 그들을 해결하기 위해 훌륭한 연구와 사실이 필요합니다."	"""큰 문제는 그들을 해결하기 위해 훌륭한 연구와 사실이 필요합니다."""	0.1111
154	“그래서 이 멋진 선박이 그걸 하기 위해 오늘 여기에 있는 것이다. 사실을 밝혀내고 과학을 발견하기 위해서, 그리고 그걸로 오늘날 우리가 당면한 문제를 해결하기 위해서, 그리고 내일도 그 일을 계속하기 위해서.”	"""이는이 놀라운 배가 오늘날이 될 것입니다. 오늘날 세계에 직면하고있는 문제를 다루는 문제를 다루는 과학을 찾고 내일 점점 더 많은 일을 할 것입니다."""	"""이는이 놀라운 배가 오늘날이 될 것입니다. 오늘날 세계에 직면하고있는 문제를 다루는 문제를 다루는 과학을 찾고 내일 점점 더 많은 일을 할 것입니다."""	0.0
155	생명의 색채는 2021년 BBC 2를 통해 방영될 예정이며, 글로벌 판권은 넷플릭스에게 있다고 전해진다.	생명은 2021 년에 BBC 2에서 2 개에서 공기가 예상되는 반면 Netflix는 글로벌 권리를 유지할 것으로 예상됩니다.	생명은 2021 년에 BBC 2에서 2 개에서 공기가 예상되는 반면 Netflix는 글로벌 권리를 유지할 것으로 예상됩니다.	0.0
156	우크라이나 스캔들: 펠로시 의원, 바 장관 “막나간다”; 전 미국 관료들에 대한 재조사	우크라이나 스캔들 : Pelosi는 'Rogue'라고 말합니다. 전 미국 공무원 등 조사	우크라이나 스캔들 : Pelosi는 'Rogue'라고 말합니다. 전 미국 공무원 등 조사	0.0
157	금요일, 낸시 펠로시 하원의장은 윌리엄 바 미 법무장관이 우크라이나 대통령과 의심쩍은 통화 사건으로부터 트럼프 대통령을 보호하기 위해 “막나간다”고 비난했다. 이 사건을 계기로 대통령 탄핵 조사가 진행 중이다.	"하우스 스피커 낸시 펠로시는 미국 변호사 총리 윌리엄 바로 (William Barr) 금요일의 금요일의 ""Rogue""의 논쟁의 지도자와의 논란의 지도자와의 논란 의지력 전화를 통해 논쟁의 여지가있는 전화를 통해 ""Rogue""를 보호합니다."	"하우스 스피커 낸시 펠로시는 미국 변호사 총리 윌리엄 바로 (William Barr) 금요일의 금요일의 ""Rogue""의 논쟁의 지도자와의 논란의 지도자와의 논란 의지력 전화를 통해 논쟁의 여지가있는 전화를 통해 ""Rogue""를 보호합니다."	0.0
158	캘리포니아 민주당원인 낸시 펠로시 의장의 이와 같은 발언은 신원 불명의 한 정보기관 관계자가 미국 정보커뮤니티의 마이클 앳킨슨 감사원장에게 제출한 신고서가 목요일 공개되고 난 뒤의 일이다.	캘리포니아 민주당의 말은 미확인 지능 공무원이 인텔리전스 커뮤니티 검사원 일반 Michael Atkinson에 대한 불만 사항을 제출 한 불만 사항의 ​​발표를 따른다.	캘리포니아 민주당의 말은 미확인 지능 공무원이 인텔리전스 커뮤니티 검사원 일반 Michael Atkinson에 대한 불만 사항을 제출 한 불만 사항의 ​​발표를 따른다.	0.0
159	앳킨슨 원장은 이를 미 국가정보장실의 조셉 맥과이어 국정원장에게 전달했다.	Atkinson은 국가 정보 감독 Joseph Maguire로 전환했습니다.	Atkinson은 국가 정보 감독 Joseph Maguire로 전환했습니다.	0.0
160	바 장관의 이름도 7월 25일 전화통화에서 수차례 언급되었고 트럼프 대통령의 변호사 루돌프 줄리아니도 마찬가지이다.	Barr은 7 월 25 일 전화 통화에서 여러 번 언급되어 있으며, 트럼프 변호사 루돌리아니아입니다.	Barr은 7 월 25 일 전화 통화에서 여러 번 언급되어 있으며, 트럼프 변호사 루돌리아니아입니다.	0.0
161	이 신고서에 따르면, 백악관 관계자들이 너무 우려가 되어 이 통화 기록을 ‘은폐’하려고 했다.	"불만 사항은 백악관 관계자들이 통화 기록을 ""잠금 해제""하려고 시도 할만 큼 충분히 우려되었다고 말했습니다."	"불만 사항은 백악관 관계자들이 통화 기록을 ""잠금 해제""하려고 시도 할만 큼 충분히 우려되었다고 말했습니다."	0.0
162	“[바 장관이] 막나가기 시작했다”라고 펠로시 의장이 금요일 MSNBC에서 말했다.	"""[Barr가있다]가 불량배""라고 Pelosi는 MSNBC 금요일을 말했습니다."	"""[Barr가있다]가 불량배""라고 Pelosi는 MSNBC 금요일을 말했습니다."	0.0
163	“내 생각에 그들은 은폐 사실을 은폐하려는 것 같다.	나는 그들이 어디로 가는지는 표지의 표지 인 것입니다.	나는 그들이 어디로 가는지는 표지의 표지 인 것입니다.	0.0
164	법무부가 그런 식으로 막나가다니 슬픈 일이다.	나는 그것이 슬프다고 생각합니다. 정의 부서가 너무 불량배가되어 있습니다.	나는 그것이 슬프다고 생각합니다. 정의 부서가 너무 불량배가되어 있습니다.	0.0
165	뭐, 한동안은 그래왔다. 근데 이제는 그게 상황을 더욱 악화시키고 있다.”	글쎄, 그들은 잠시 동안 왔습니다. 그리고 이제는 사안을 더욱 악화시킵니다.	글쎄, 그들은 잠시 동안 왔습니다. 그리고 이제는 사안을 더욱 악화시킵니다.	0.0
166	펠로시 의장은 트럼프 대통령이 우크라이나에 군사 지원을 요청했던 사실을 은폐했었다고 시인하자 이번 주에 공식적인 탄핵 조사를 발표했다.	펠로시 (Pelosi)는 트럼프가 우크라이나에 군사 원조를 보류 한 후에 공식 탄핵 수사를 발표했다.	펠로시 (Pelosi)는 트럼프가 우크라이나에 군사 원조를 보류 한 후에 공식 탄핵 수사를 발표했다.	0.0
167	결과적으로 우크라이나의 지원은 받았었지만, 하원 민주당원들이 알고 싶어하는 것은 그 군사적 지원과 트럼프가 당시 5년간 한 우크라이나 가스 회사에서 근무 중이던 헌터 바이든에 대한 조사를 젤렌스키 대통령에게 의뢰한 사건 사이의 연관성이다.	이 원조는 궁극적으로 부여되었지만 하우스 민주당은 Zelensky를 5 년 동안 우크라이나 가스 회사에서 일하는 사냥꾼 Biden을 조사하기 위해 Zelensky를 요구하는지 여부를 알고 싶어합니다.	이 원조는 궁극적으로 부여되었지만 하우스 민주당은 Zelensky를 5 년 동안 우크라이나 가스 회사에서 일하는 사냥꾼 Biden을 조사하기 위해 Zelensky를 요구하는지 여부를 알고 싶어합니다.	0.0
168	또한 금요일에는 300명에 달하는 전직 미국 대외 정책 및 국가안보 관계자들이 탄핵 조사를 지지하는 서한에 서명했다.	또한 금요일, 거의 300 명의 전 미국 외교 정책과 국가 안보 공무원이 탄핵 조사를 지원하는 서한에 서명했다.	또한 금요일, 거의 300 명의 전 미국 외교 정책과 국가 안보 공무원이 탄핵 조사를 지원하는 서한에 서명했다.	0.0
169	"이 집단은 트럼프의 행위가 심각한 국가안보 문제""라고 말했다."	"연합성은 트럼프의 행동이 ""심오한 국가 안보 문제""를 구성한다고 말했다."	"연합성은 트럼프의 행동이 ""심오한 국가 안보 문제""를 구성한다고 말했다."	0.0
170	"이 서한에는 ""우리가 이 중요한 길을 걷을 수 있게 해준 펠로시 의장을 비롯한 하원의원들에게 찬사를 보낸다""라고 적혀 있다."	"""우리는 필요한 경로를 우리를 시작한 연사 펠로시 (Pelosi)를 포함하여 회원들의 회원들에게 박수를 보냈다."	"""우리는 필요한 경로를 우리를 시작한 연사 펠로시 (Pelosi)를 포함하여 회원들의 회원들에게 박수를 보냈다."	0.0
171	트럼프 대통령은 미국 최고 지위인 대통령으로써의 권력과 자원을 이용하여 우리나라의 민주적인 절차에 외세가 개입하게 했다.	트럼프 대통령은 땅에서 가장 높은 사무실의 권위와 자원을 활용하여 민주적 과정에 추가적인 외국 간섭을 초래 한 것으로 보입니다.	트럼프 대통령은 땅에서 가장 높은 사무실의 권위와 자원을 활용하여 민주적 과정에 추가적인 외국 간섭을 초래 한 것으로 보입니다.	0.0
172	이는 몰지각한 권력 남용이다.”	그건 힘의 불확실한 남용을 구성 할 것입니다.	"그것은 힘의 불능의 남용을 구성 할 것입니다. """	0.375
